strain,WBGene00000367,WBGene00001171,WBGene00001187,WBGene00001202,WBGene00002149,WBGene00002235,WBGene00002242,WBGene00003558,WBGene00004830,WBGene00004831,WBGene00006742,WBGene00007176,WBGene00014261,WBGene00022240
ECA594,7.466851479059826,6.566626251833968,7.438259697462281,6.752290854408186,6.300465020674323,7.252750956408595,6.595185520081288,6.72907828996386,6.973963183793777,7.408793433697232,7.590030415710251,6.7948612801198,6.869573502742949,6.41012915732004
ECA703,8.020977131107763,6.867517783695448,8.383834313984943,6.881005910588316,6.568257524559592,7.608660015709541,6.961579324558376,7.002848147019552,7.864560766567621,8.141701930511129,8.05941522792316,7.264907156671239,7.576351546939003,6.873217968273439
ECA705,7.894871531283567,6.752946254222043,8.258214566128888,6.820458380909464,6.485335007057662,7.363867290025967,6.79662323872072,6.853591513254476,7.541651048685388,7.860406980571696,7.95947684996033,7.353785834053134,7.422008828150652,6.665221295491587
ECA710,7.976814411354719,6.767583135277562,8.566625003591113,7.037533686893376,6.501770698819183,7.42868518696073,6.7956775835771355,7.001888505985366,7.8915235461851525,8.240679609890929,8.058748291015275,7.3959387241240115,7.634343274224184,6.922290771695323
ECA738,7.920229116627875,6.746149201953267,8.077637773218875,6.935775177807526,6.399485723337444,7.333264918577506,6.7243263076882105,6.790282795313266,7.446437331156036,8.07397997934522,7.864756272629473,7.295129490557507,7.4914369220751675,6.793257927587986
ECA743,7.634236959264854,6.7474457923931315,8.221120240289508,6.841501845592444,6.380972207255867,7.31965617842442,6.586991302056692,6.6017507487659115,7.306397511403176,7.753154685185687,7.551046728821997,7.050060371053248,7.253894452604857,6.697474423456935
ECA745,7.959959872657406,6.751825335012964,8.134423284203361,6.9739938790006635,6.6329131735717795,7.216628151292916,6.471426981296364,6.7424343901192305,7.227061953756528,7.809767598768642,7.938280070004824,7.177186717348332,7.642826574983856,6.6773788657292386
ECA777,8.023107899034766,6.849584135178239,8.584404488410787,6.924886388525405,6.523872414215251,7.495981530699022,6.858747555565235,7.198299402658235,7.7954818790768785,8.04024948812279,8.151191633375783,7.188675894704717,7.331921931829775,6.874093330085452
ECA812,8.343296378474978,7.009972406844036,8.899982944527865,7.154212413715046,6.633597731644258,7.593300522616842,7.111287730264878,7.1493342240921685,8.080181136912994,8.48608733979988,8.5604564128161,7.635737297689765,7.892310066339143,7.158953257059604
ECA923,7.896389780922823,6.839208235533054,8.007763911582542,6.752469707766846,6.485922912014107,7.311379445697498,6.798252143136192,6.903925211507816,7.422018382501085,7.820098960934229,7.802256796314807,7.000408599298871,7.3802199855334125,6.707896343089283
ED3005,7.812722223400791,6.725804563563625,8.221379593235794,6.927720007093316,6.393870820807395,7.188141638887291,6.666789838028015,6.825261536805105,7.43344865799481,7.985533998135195,7.949123279601221,7.020283196245104,7.271137012675525,6.718968950054941
ED3012,8.183674799383134,6.80871546116891,8.679696217799965,6.993195713124177,6.635074533188752,7.426137289304786,6.947982011664829,7.1170667746932805,7.992069842630465,8.51077539430036,8.407025350742597,7.328824018747297,8.060417317945763,7.112297924510393
ED3017,7.4330443964886195,6.587268901700388,7.811862705923998,6.82743151331385,6.549235290138398,7.327288253069741,6.4984567599457925,6.762010193184385,7.148462196651132,7.606749266098181,7.6231617728921615,6.940700905898075,7.06625624413186,6.559971340049569
ED3040,7.734697681937657,6.607603634508632,8.301373381431631,6.866656577821612,6.513044914599337,7.111302414564741,6.741705802162249,6.862596048440894,7.267107473793397,7.766182103792079,7.731053115509202,7.023314971948136,7.426991321536023,6.707506397359532
ED3048,7.692566480392641,6.636973812890733,8.13449085066468,6.871523716636063,6.501138284099526,7.09255028268558,6.607638232348949,6.838240710107004,7.429696330905676,7.660010888925819,7.785917587572343,7.195842608048164,7.222303984658802,6.636152402531939
ED3049,7.75317546916857,6.733872504309823,8.118126179367371,6.891763318726872,6.387497973044055,7.33833589092977,6.581047058413992,6.777340726011606,7.612734268359913,7.802242357509336,7.840759280333904,7.082851547123656,7.197740955451074,6.749418183261095
ED3052,7.900138354940707,6.678416222476858,8.608244643777496,7.003108813025434,6.453731662692865,7.29500530461521,6.901688828339284,6.956068135037027,7.352403670551426,7.90760143677282,7.924439865803924,7.08648574067816,7.637969244732761,6.824943643638182
ED3073,7.696509997835029,6.616199492585068,8.153129679002076,7.020269469922284,6.481807598018138,7.282364285573392,6.663629951332809,6.839638995498012,7.424192799880874,7.763027089323032,7.8318054820629275,6.912708352343749,7.396684076638181,6.691783829277704
ED3077,7.744892030044417,6.609611150433844,8.233285152562862,6.867492938799138,6.5194637535810465,7.207368948747826,6.607896799847753,6.92946188981296,7.419490532722172,7.9226044291102315,7.8968006476475985,7.197675791899412,7.4465533813383935,6.675430384234988
EG4347,8.096203025835381,6.858144710430487,8.527658639308166,6.865704209502459,6.517525213253494,7.395796883039379,6.687940559784325,7.169147661966228,7.724058787730048,8.24402687869934,8.190266148135132,7.189860480435429,7.369501165014588,7.00945957103948
EG4724,8.601120652690335,6.9709416469181855,8.92627349995768,6.907376654240195,6.614331341719531,7.493753214271932,6.904201015123708,6.891665805134053,8.036380632691731,8.420460430783287,8.500557332456596,7.425881272931139,7.838892477703745,6.91051433963262
EG4946,8.112862604855,6.77106747558109,8.454018875212999,7.014137998436734,6.683874833944122,7.453164162876642,6.830160445870587,6.927918715906318,7.841938220441108,8.285289987297377,8.115724849382381,7.09861860290541,7.603738252675356,6.848015526020323
GXW1,8.135733531615273,7.039946670436298,8.660309392612307,7.013906774897815,6.5060742878537905,7.404682136237384,6.849733404697477,7.043707105392024,8.00351207695855,8.253567757096675,8.145520764718068,7.282811184120036,7.7273220529864854,6.923466122899571
JT11398,7.3320916898869255,6.716172666716876,7.953559176420324,6.773088278627991,6.341695166710319,7.087249200204679,6.491605180922371,6.803177002475325,7.11107448438676,7.525803198930275,7.474451564925851,6.787480191633784,6.990861043684405,6.529240128536105
JU1088,8.03216122105573,6.672569817179126,8.340166320549283,6.880294575960776,6.542917221939058,7.162546575131753,6.6822077818503285,6.905091603790061,7.562858652317147,7.9856866919575875,8.066065180695675,7.088689286954134,7.593413099647021,6.763675607208284
JU1172,7.947280893022442,6.554212978257532,8.212842446981446,6.898240901245822,6.454459160607817,7.168400011506462,6.516321268823462,6.719680046478273,7.563588008131923,7.8099076041405535,7.954664185415272,7.045901096349043,7.7124426550754945,6.762895310019485
JU1200,7.554520792439516,6.654809475604845,7.929070573509021,6.985909596077792,6.389297824412065,7.270957749021764,6.659220188911542,7.022513973246691,7.479369455750529,8.030135048254511,7.96201205061092,6.918088543370134,7.38599065470031,6.598650435878964
JU1212,7.394376274845001,6.780374676152092,7.893329036923777,6.806451048761304,6.4016484668471065,7.126222627726914,6.387460938436785,6.8626812671289885,7.13944701846636,7.819497971480703,7.737415353768043,7.0018026969286336,7.238723667783222,6.7257869363417
JU1213,7.833669492581282,6.904706302186732,8.340723078661949,7.0275323429699315,6.390080959111485,7.43719720514159,6.59249624211832,6.912006542361796,7.508878071541988,7.92373353752551,8.012329526798277,7.183500203052928,7.436800053738872,6.663405166027612
JU1242,8.186091243964967,6.648317446844613,8.502810032057981,7.09536157835923,6.628281914136111,7.331367581366799,6.863481431601263,6.992382070055877,7.601526701088568,8.29065701832153,8.073620921461634,7.233154076274174,7.76860289426987,6.998315386890708
JU1246,7.503515242121011,6.654020834794613,8.168271046674306,6.7945366876265245,6.405479186943856,7.249406906474386,6.448433013209305,6.77429887607119,7.231452172431232,7.81214586992726,7.819359798858152,7.092469009240376,7.3587705436005155,6.732868841091471
JU1395,7.922758188559277,6.88497006207722,8.38253453223289,6.939576979943346,6.454659519237835,7.472328692939853,6.747095148668859,7.061024686102662,7.815105364416897,8.094307506144261,8.076822398259752,7.189161781014888,7.502633569441501,6.876268051090181
JU1409,7.738546252748516,6.81287263502969,8.05125080498185,6.987686069437894,6.448723968536332,7.237155258709615,6.751854248840227,6.809221102033582,7.569225789286207,7.894271515679268,7.6249698014830285,7.059326660464979,7.436292328812216,6.774383998774615
JU1440,7.5029748417115085,6.522584959220747,8.038454999832092,6.784316732965241,6.333883935054688,7.036749838012017,6.575286530363582,6.8150292816670435,7.346414915013882,7.638923966444761,7.753836466487527,6.984341826481671,7.359865864808503,6.691400558941726
JU1491,8.09171927349104,6.922734256415605,8.526940990738419,6.898006166447546,6.459827431176913,7.490925429159476,6.7051514516462705,6.929695885813311,7.731360311125352,8.266859998181822,7.951087493976661,7.447039667396259,7.587581537505786,6.8026695587651975
JU1530,8.11532583776483,6.742925323684407,8.732249182789014,7.025474808417376,6.673329144438585,7.552512006315833,6.927615550681293,7.188882470303753,8.176678135467485,8.514233735278271,8.234713197254177,7.3635240517818925,8.034341588850918,7.149972354634092
JU1543,8.115632572627561,6.96798382309702,8.692341583090402,6.987562592050751,6.440906237661017,7.539563310105069,6.712535273985213,6.949596332873963,7.757118088790949,8.358971393329572,8.232249291788646,7.3909758821195055,7.512144030551593,6.953267189511258
JU1568,7.52345269725117,6.5757449494923845,7.986960274225754,6.781243499830878,6.492622603420566,7.200876848947627,6.662895628695921,6.94338233977781,7.3148762796918065,7.734481827726599,7.829686349869525,6.9790292988561,7.301609597143135,6.6898893972945865
JU1581,7.930768507016632,6.726114057920887,8.296202702621509,7.064206392344811,6.696063003519679,7.083376343864427,6.530140633011141,6.933362060419378,7.462375470164705,7.936742530483686,7.913476806846821,7.068133084239025,7.470493065084058,6.727107144897594
JU1586,8.362499783903088,7.010081378497193,8.711879516124625,7.16551587305305,6.605470418413293,7.393126247537573,6.979464564098765,7.233883638512359,7.890027450683992,8.40271826423256,8.385291990761083,7.491545484697645,7.851225707303724,7.081577484933029
JU1652,7.885689801754474,6.763745692466245,8.23068788621849,6.882878784359729,6.5748519774692715,7.350611039126718,6.615321403206074,6.963191414501657,7.465694262777777,8.025068292350944,7.932116058923398,7.162130191295261,7.426816559418703,6.898826569428468
JU1666,8.090591579362346,6.5871876457842,8.417950534354496,6.935367056683524,6.44771085605833,7.292296660995892,6.788121053866283,6.8977689965156355,7.538642088813782,8.033305476055896,8.049133983123438,7.152810198949905,7.440610762720695,6.881741716321592
JU1792,7.870535655974007,6.703641295632609,8.30209223436106,7.013679255277231,6.433747388383853,7.3608091341347786,6.891097477256743,6.825564477625047,7.699456975382986,8.146488841604558,7.936638016664225,7.177722342727383,7.576216913534336,6.939930013970255
JU1793,7.782677559061239,6.805313256334346,8.409522825447201,6.83975013664288,6.810765261032597,7.387920803590821,6.83583175012217,6.776689877059145,7.586208699878544,8.157342024106088,7.798738984036718,7.146502837654566,7.6428398083407325,6.8970388767966755
JU1808,8.0836099605964,7.071213537267489,8.895546390542616,7.03840000110913,6.496106858514696,7.493998590564216,6.842607623481659,6.907457187614996,7.772955050193427,8.398371612069367,8.106152949882741,7.343396384685826,7.476022320351427,7.037155924919041
JU1896,7.904597323080937,6.85224073485651,8.449587906822007,7.135697667209145,6.365542770684261,7.495532564271514,6.768949493348176,6.90595649509709,7.7985091724919045,8.176313144309669,7.781641426416337,7.162500712190694,7.411026435259438,6.856316432761945
JU1934,7.830447442076525,6.54264786611639,8.694725175910651,6.9917809840519975,6.547412918738057,7.187545213290891,6.499537333101713,6.754348121769366,7.613676197141733,8.05547514277407,8.076098548446543,7.245564596284849,7.648050713877121,6.837022604094336
JU2001,7.862962304667549,6.630152660766843,8.130000057728491,6.824248726728535,6.329829016103526,7.243478266019056,6.624810836838502,6.860386188142049,7.506642349166776,7.970947234781356,7.688570041774911,7.253332164304743,7.234354638709861,6.7490617835248266
